code,sum,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AND,3,1,0,1,1,0,0,0,0,0,0
ARE,268,22,23,22,29,25,40,27,35,23,22
AFG,4,0,1,0,2,1,0,0,0,0,0
ALB,112,10,10,10,13,8,14,11,9,12,15
ARM,19,2,0,3,1,3,2,2,1,3,2
AGO,7,1,0,1,0,2,1,1,0,1,0
ARG,21,3,2,4,2,1,2,0,4,1,2
AUT,1596,94,101,113,114,152,123,178,229,237,255
AUS,205,15,23,18,25,24,25,20,22,21,12
AZE,5,1,0,0,0,0,0,2,0,0,2
BIH,15,1,3,3,4,0,0,1,1,2,0
BEL,2862,155,146,150,184,230,320,378,428,464,407
BFA,1,0,0,0,0,0,0,1,0,0,0
BHR,28,2,2,3,2,4,1,8,4,2,0
BEN,3,3,0,0,0,0,0,0,0,0,0
BMU,3,0,0,0,0,0,0,0,0,0,3
BRA,36,2,3,4,5,2,5,0,8,4,3
MMR,1,0,0,0,0,0,0,1,0,0,0
BWA,9,0,1,1,0,2,0,2,0,2,1
BLR,61,4,4,2,4,7,7,4,7,12,10
CAN,1725,141,179,178,204,228,198,189,176,132,100
CHE,726,67,76,59,66,74,70,78,72,85,79
CIV,2,0,0,0,0,0,0,0,2,0,0
CHL,17,4,0,1,2,1,2,2,4,0,1
CHN,69,2,6,3,8,6,11,6,7,9,11
COL,12,1,1,2,1,3,0,1,2,0,1
CRI,11,1,1,2,1,2,1,1,0,1,1
CUB,7,1,1,1,2,0,0,1,1,0,0
CYP,1838,66,69,71,105,160,237,261,281,368,220
CZE,701,45,39,39,60,65,81,72,99,91,110
DEU,7359,349,374,339,422,511,670,901,1102,1330,1361
DNK,302,16,9,13,11,16,23,43,43,58,70
DOM,20,2,0,5,1,3,1,3,0,4,1
DZA,39,7,0,4,5,4,4,5,7,3,0
ECU,7,2,1,0,0,0,3,0,1,0,0
EST,16,0,1,1,0,2,3,1,3,3,2
EGY,51,4,3,8,2,7,4,7,7,8,1
ESP,13321,941,1117,1302,1593,1811,1509,1545,1381,1246,876
ETH,2,0,0,0,0,0,1,1,0,0,0
FIN,156,7,9,9,8,17,21,22,16,26,21
FRA,3222,187,206,240,294,303,354,388,413,432,405
GBR,7474,307,384,416,499,676,707,969,1094,1229,1193
GEO,16,0,1,3,1,2,4,1,0,1,3
GHA,5,0,1,0,1,0,1,0,1,0,1
GIB,3,0,0,0,1,0,0,0,1,0,1
GMB,1,0,0,0,1,0,0,0,0,0,0
GTM,1,0,0,0,1,0,0,0,0,0,0
GNQ,1,0,0,0,0,0,0,0,0,1,0
GRC,7245,659,679,733,807,916,925,930,757,523,316
GUM,2,0,0,0,1,0,0,0,0,1,0
HKG,3,0,0,0,0,1,1,0,0,1,0
HRV,33,1,4,6,2,2,2,4,3,3,6
HUN,109,15,7,16,15,9,10,14,9,10,4
IDN,8,0,0,1,1,0,2,0,2,2,0
IRL,323,36,26,33,37,48,32,33,27,29,22
ISR,531,65,64,71,50,43,57,50,58,42,31
